week_start,commits,active_repos,commits_4w_avg,commits_8w_avg,commits_per_repo,commits_per_repo_4w_avg,core,docs,governance,sdks,tooling,core_4w_avg,docs_4w_avg,governance_4w_avg,sdks_4w_avg,tooling_4w_avg
2025-07-26 23:00:00+00:00,0,0,96.5,102.75,,9.175,0.0,0.0,0.0,0.0,0.0,41.0,9.25,11.0,18.5,16.75
2025-07-27 00:00:00+00:00,259,23,109.0,109.5,11.26086956521739,10.055434782608696,115.0,67.0,27.0,31.0,19.0,48.25,21.5,10.0,16.5,12.75
2025-08-02 23:00:00+00:00,0,0,109.0,109.5,,10.055434782608696,0.0,0.0,0.0,0.0,0.0,48.25,21.5,10.0,16.5,12.75
2025-08-03 00:00:00+00:00,202,22,115.25,105.875,9.181818181818182,10.221343873517785,86.0,37.0,12.0,46.0,21.0,50.25,26.0,9.75,19.25,10.0
2025-08-09 23:00:00+00:00,0,0,115.25,105.875,,10.221343873517785,0.0,0.0,0.0,0.0,0.0,50.25,26.0,9.75,19.25,10.0
2025-08-10 00:00:00+00:00,175,23,94.25,101.625,7.608695652173913,8.395256916996047,72.0,17.0,8.0,39.0,39.0,39.5,13.5,5.0,21.25,15.0
2025-08-16 23:00:00+00:00,0,0,94.25,101.625,,8.395256916996047,0.0,0.0,0.0,0.0,0.0,39.5,13.5,5.0,21.25,15.0
2025-08-17 00:00:00+00:00,159,21,83.5,99.375,7.571428571428571,7.590062111801242,85.0,15.0,5.0,37.0,17.0,39.25,8.0,3.25,19.0,14.0
2025-08-23 23:00:00+00:00,0,0,83.5,99.375,,7.590062111801242,0.0,0.0,0.0,0.0,0.0,39.25,8.0,3.25,19.0,14.0
2025-08-24 00:00:00+00:00,157,20,79.0,86.625,7.85,7.710714285714285,72.0,13.0,20.0,41.0,11.0,39.25,7.0,6.25,19.5,7.0
2025-08-30 23:00:00+00:00,0,0,79.0,86.625,,7.710714285714285,0.0,0.0,0.0,0.0,0.0,39.25,7.0,6.25,19.5,7.0
2025-08-31 00:00:00+00:00,187,19,86.0,84.75,9.842105263157896,8.846052631578948,86.0,11.0,17.0,44.0,29.0,39.5,6.0,9.25,21.25,10.0
2025-09-06 23:00:00+00:00,0,0,86.0,84.75,,8.846052631578948,0.0,0.0,0.0,0.0,0.0,39.5,6.0,9.25,21.25,10.0
2025-09-07 00:00:00+00:00,103,20,72.5,75.75,5.15,7.496052631578948,33.0,4.0,7.0,18.0,41.0,29.75,3.75,6.0,15.5,17.5
2025-09-13 23:00:00+00:00,0,0,72.5,75.75,,7.496052631578948,0.0,0.0,0.0,0.0,0.0,29.75,3.75,6.0,15.5,17.5
2025-09-14 00:00:00+00:00,216,23,79.75,82.875,9.391304347826088,7.270652173913044,111.0,6.0,12.0,38.0,49.0,36.0,2.5,4.75,14.0,22.5
2025-09-20 23:00:00+00:00,0,0,79.75,82.875,,7.270652173913044,0.0,0.0,0.0,0.0,0.0,36.0,2.5,4.75,14.0,22.5
2025-09-21 00:00:00+00:00,171,18,96.75,84.625,9.5,9.445652173913043,93.0,4.0,21.0,20.0,33.0,51.0,2.5,8.25,14.5,20.5
2025-09-27 23:00:00+00:00,0,0,96.75,84.625,,9.445652173913043,0.0,0.0,0.0,0.0,0.0,51.0,2.5,8.25,14.5,20.5
2025-09-28 00:00:00+00:00,202,20,93.25,86.5,10.1,9.8,113.0,7.0,15.0,41.0,26.0,51.5,2.75,9.0,15.25,14.75
2025-10-04 23:00:00+00:00,0,0,93.25,86.5,,9.8,0.0,0.0,0.0,0.0,0.0,51.5,2.75,9.0,15.25,14.75
2025-10-05 00:00:00+00:00,154,18,89.0,92.875,8.555555555555555,9.327777777777778,107.0,8.0,13.0,12.0,14.0,55.0,3.75,7.0,13.25,10.0
2025-10-11 23:00:00+00:00,0,0,89.0,92.875,,9.327777777777778,0.0,0.0,0.0,0.0,0.0,55.0,3.75,7.0,13.25,10.0
2025-10-12 00:00:00+00:00,201,18,88.75,91.0,11.166666666666666,9.86111111111111,119.0,10.0,17.0,24.0,31.0,56.5,4.5,7.5,9.0,11.25
2025-10-18 23:00:00+00:00,0,0,88.75,91.0,,9.86111111111111,0.0,0.0,0.0,0.0,0.0,56.5,4.5,7.5,9.0,11.25
2025-10-19 00:00:00+00:00,249,22,112.5,100.75,11.318181818181818,11.242424242424242,115.0,20.0,23.0,58.0,33.0,58.5,7.5,10.0,20.5,16.0
2025-10-25 23:00:00+00:00,0,0,112.5,100.75,,11.242424242424242,0.0,0.0,0.0,0.0,0.0,58.5,7.5,10.0,20.5,16.0
2025-10-26 00:00:00+00:00,212,22,115.25,102.0,9.636363636363637,10.477272727272727,88.0,25.0,11.0,65.0,23.0,50.75,11.25,8.5,30.75,14.0
2025-11-01 23:00:00+00:00,0,0,115.25,102.0,,10.477272727272727,0.0,0.0,0.0,0.0,0.0,50.75,11.25,8.5,30.75,14.0
2025-11-02 00:00:00+00:00,192,20,101.0,106.75,9.6,9.618181818181817,94.0,5.0,29.0,33.0,31.0,45.5,7.5,10.0,24.5,13.5
2025-11-09 00:00:00+00:00,179,23,145.75,129.125,7.782608695652174,9.006324110671937,94.0,11.0,28.0,29.0,17.0,69.0,10.25,17.0,31.75,17.75
2025-11-16 00:00:00+00:00,163,21,133.5,124.375,7.761904761904762,8.381504485852313,66.0,3.0,26.0,49.0,19.0,63.5,4.75,20.75,27.75,16.75
2025-11-23 00:00:00+00:00,111,15,161.25,138.25,7.4,8.136128364389235,54.0,9.0,13.0,31.0,4.0,77.0,7.0,24.0,35.5,17.75
2025-11-30 00:00:00+00:00,166,15,154.75,127.875,11.066666666666666,8.5027950310559,88.0,4.0,22.0,27.0,25.0,75.5,6.75,22.25,34.0,16.25
2025-12-07 00:00:00+00:00,183,24,155.75,150.75,7.625,8.463392857142857,86.0,7.0,17.0,51.0,22.0,73.5,5.75,19.5,39.5,17.5
2025-12-14 00:00:00+00:00,222,23,170.5,152.0,9.652173913043478,8.935960144927536,81.0,22.0,21.0,60.0,38.0,77.25,10.5,18.25,42.25,22.25
2025-12-21 00:00:00+00:00,71,11,160.5,160.875,6.454545454545454,8.6995965085639,38.0,0.0,1.0,22.0,10.0,73.25,8.25,15.25,40.0,23.75
2025-12-28 00:00:00+00:00,71,10,136.75,145.75,7.1,7.707929841897233,24.0,4.0,3.0,37.0,3.0,57.25,8.25,10.5,42.5,18.25
2026-01-04 00:00:00+00:00,46,15,102.5,129.125,3.066666666666667,6.5683465085638995,15.0,5.0,6.0,15.0,5.0,39.5,7.75,7.75,33.5,14.0
